date,open,high,low,close,volume
2024-11-21 10:00:00,3125.7,3138.97,3118.01,3131.36,3816.154027
2024-11-21 11:00:00,3130.82,3154.86,3129.21,3147.64,8503.072755
2024-11-21 12:00:00,3147.61,3318.25,3146.1,3285.26,64919.078588
2024-11-21 13:00:00,3285.26,3367.12,3284.57,3348.0,32315.009426
2024-11-21 14:00:00,3348.0,3371.62,3308.2,3345.02,26126.16834
2024-11-21 15:00:00,3345.02,3346.49,3237.5,3277.21,35935.996772
2024-11-21 16:00:00,3277.2,3341.2,3277.2,3331.79,17445.461441
2024-11-21 17:00:00,3331.66,3351.08,3312.93,3349.94,9235.954809
2024-11-21 18:00:00,3350.08,3384.0,3339.09,3379.37,11143.18317
2024-11-21 19:00:00,3379.37,3386.98,3337.08,3347.04,9449.941843
2024-11-21 20:00:00,3347.04,3367.77,3334.42,3347.84,4568.718918
2024-11-21 21:00:00,3347.78,3355.99,3334.22,3345.49,4289.256063
2024-11-21 22:00:00,3345.5,3378.99,3343.94,3371.19,4147.185123
2024-11-21 23:00:00,3371.19,3376.26,3355.0,3356.15,6704.379712
2024-11-22 00:00:00,3356.11,3374.42,3310.4,3316.44,10291.057953
2024-11-22 01:00:00,3316.41,3332.3,3304.09,3321.65,8410.675828
2024-11-22 02:00:00,3321.65,3342.88,3320.0,3330.9,5543.089386
2024-11-22 03:00:00,3330.82,3380.37,3321.03,3366.05,10890.828864
2024-11-22 04:00:00,3366.06,3426.46,3358.01,3390.58,20326.098487
2024-11-22 05:00:00,3390.59,3395.0,3370.24,3375.0,8555.45753
2024-11-22 06:00:00,3374.99,3384.0,3354.7,3371.78,8003.858113
2024-11-22 07:00:00,3371.78,3386.79,3358.07,3362.58,9935.497704
2024-11-22 08:00:00,3362.58,3381.19,3362.57,3371.9,6002.306253
2024-11-22 09:00:00,3371.9,3383.97,3350.41,3364.04,6757.568069
2024-11-22 10:00:00,3364.02,3369.6,3318.75,3322.49,13142.987983
2024-11-22 11:00:00,3322.6,3346.64,3311.72,3344.66,7949.611891
2024-11-22 12:00:00,3344.66,3357.41,3329.03,3348.28,6680.474073
2024-11-22 13:00:00,3348.39,3348.78,3258.06,3293.45,35759.459894
2024-11-22 14:00:00,3293.92,3311.38,3280.38,3288.0,13785.544449
2024-11-22 15:00:00,3288.16,3325.0,3282.67,3314.01,10936.003225
2024-11-22 16:00:00,3313.88,3316.85,3290.19,3308.06,7140.658077
2024-11-22 17:00:00,3308.19,3321.42,3292.21,3296.58,5009.432254
2024-11-22 18:00:00,3296.73,3307.49,3265.75,3279.73,6886.774095
2024-11-22 19:00:00,3280.0,3297.6,3265.0,3282.52,8010.522284
2024-11-22 20:00:00,3282.51,3297.69,3272.83,3291.59,4042.817811
2024-11-22 21:00:00,3291.59,3317.9,3280.0,3316.97,5103.035012
2024-11-22 22:00:00,3316.93,3319.61,3301.09,3307.85,4277.508543
2024-11-22 23:00:00,3307.85,3330.5,3307.0,3327.68,3946.604106
